state_name,state_fips,technology,file_id,file_name,download_link
Georgia,13,Fiber to the Premises,1582466,bdc_13_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582466/1
Guam,66,Fiber to the Premises,1582508,bdc_66_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582508/1
Hawaii,15,Fiber to the Premises,1582467,bdc_15_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582467/1
Idaho,16,Fiber to the Premises,1582468,bdc_16_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582468/1
Illinois,17,Fiber to the Premises,1582469,bdc_17_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582469/1
Indiana,18,Fiber to the Premises,1582470,bdc_18_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582470/1
Iowa,19,Fiber to the Premises,1582471,bdc_19_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582471/1
Kansas,20,Fiber to the Premises,1582472,bdc_20_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582472/1
Kentucky,21,Fiber to the Premises,1582473,bdc_21_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582473/1
Louisiana,22,Fiber to the Premises,1582474,bdc_22_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582474/1
Maine,23,Fiber to the Premises,1582475,bdc_23_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582475/1
Maryland,24,Fiber to the Premises,1582476,bdc_24_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582476/1
Massachusetts,25,Fiber to the Premises,1582477,bdc_25_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582477/1
Michigan,26,Fiber to the Premises,1582478,bdc_26_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582478/1
Minnesota,27,Fiber to the Premises,1582479,bdc_27_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582479/1
Mississippi,28,Fiber to the Premises,1582480,bdc_28_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582480/1
Missouri,29,Fiber to the Premises,1582481,bdc_29_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582481/1
Montana,30,Fiber to the Premises,1582482,bdc_30_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582482/1
Nebraska,31,Fiber to the Premises,1582483,bdc_31_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582483/1
Nevada,32,Fiber to the Premises,1582484,bdc_32_FibertothePremises_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582484/1
